id,zone_name,latitude,longitude,code,status,meta,created_at,updated_at
37,potters Bar,51.7114940,-0.1936877,NULL,active,"{""polygon"":{""type"":""Polygon"",""coordinates"":[[[-0.19195,51.75121],[-0.20956,51.7462],[-0.23815,51.73654],[-0.22932,51.72695],[-0.23208,51.7135],[-0.23911,51.70872],[-0.2518,51.70574],[-0.24645,51.70266],[-0.24203,51.69804],[-0.24049,51.69582],[-0.23746,51.69265],[-0.23251,51.68854],[-0.22928,51.68652],[-0.22061,51.68073],[-0.2181,51.67699],[-0.21656,51.67414],[-0.17259,51.67127],[-0.16158,51.66577],[-0.15102,51.67872],[-0.13699,51.68704],[-0.13155,51.69361],[-0.13784,51.71118],[-0.13971,51.72509],[-0.14276,51.73133],[-0.14622,51.73882],[-0.14785,51.74098],[-0.15535,51.74458],[-0.16423,51.75744],[-0.16884,51.75831],[-0.17864,51.75573],[-0.19195,51.75121]]]}}",2026-02-11 13:23:13,2026-02-11 13:23:13
38,Berkhamsted,51.7589122,-0.5655133,NULL,active,"{""polygon"":{""type"":""Polygon"",""coordinates"":[[[-0.60691,51.77819],[-0.60712,51.75658],[-0.6074,51.74599],[-0.5967,51.73879],[-0.55342,51.74133],[-0.51083,51.74089],[-0.52017,51.76638],[-0.51955,51.78028],[-0.56752,51.78178],[-0.60691,51.77819]]]}}",2026-02-11 13:23:13,2026-02-11 13:23:13
39,Hatfield,51.7610014,-0.2153205,NULL,active,"{""polygon"":{""type"":""Polygon"",""coordinates"":[[[-0.23161,51.77881],[-0.24056,51.78367],[-0.24976,51.78214],[-0.26589,51.78107],[-0.27538,51.77423],[-0.27026,51.76327],[-0.27227,51.75336],[-0.27163,51.74666],[-0.27004,51.74283],[-0.26766,51.7425],[-0.26411,51.74158],[-0.25818,51.74011],[-0.25052,51.73799],[-0.24596,51.73697],[-0.24295,51.73604],[-0.24091,51.73573],[-0.23865,51.73645],[-0.23403,51.73815],[-0.22553,51.74095],[-0.22054,51.74268],[-0.21486,51.74459],[-0.20756,51.74746],[-0.19789,51.75075],[-0.18755,51.7533],[-0.17815,51.75702],[-0.17241,51.75804],[-0.16628,51.75906],[-0.16341,51.75948],[-0.16502,51.76289],[-0.15793,51.77152],[-0.15725,51.77768],[-0.15733,51.7795],[-0.16031,51.78082],[-0.17075,51.77996],[-0.17724,51.77962],[-0.18464,51.7792],[-0.18882,51.77881],[-0.19165,51.77841],[-0.19665,51.77795],[-0.20222,51.77768],[-0.2048,51.77793],[-0.20764,51.77815],[-0.21198,51.77805],[-0.23161,51.77881]]]}}",2026-02-11 13:23:14,2026-02-11 13:23:14
41,St Albans,51.7586972,-0.3325152,NULL,active,"{""polygon"":{""type"":""Polygon"",""coordinates"":[[[-0.33665,51.78738],[-0.34742,51.78581],[-0.35829,51.78445],[-0.36367,51.78391],[-0.36786,51.78354],[-0.37155,51.7831],[-0.37519,51.78245],[-0.37911,51.782],[-0.38458,51.78059],[-0.38578,51.78044],[-0.39237,51.77978],[-0.40118,51.77878],[-0.4085,51.7783],[-0.41216,51.77805],[-0.41529,51.76924],[-0.40106,51.74529],[-0.39992,51.74372],[-0.39377,51.73318],[-0.37975,51.73418],[-0.3719,51.73396],[-0.36359,51.73358],[-0.35802,51.73308],[-0.35116,51.73224],[-0.34491,51.73244],[-0.33986,51.73147],[-0.33489,51.73058],[-0.32906,51.72894],[-0.32401,51.73086],[-0.31864,51.73115],[-0.31034,51.72984],[-0.30463,51.73045],[-0.30188,51.73094],[-0.30027,51.73158],[-0.29347,51.73082],[-0.2901,51.73095],[-0.28694,51.73209],[-0.27969,51.73722],[-0.27411,51.74046],[-0.26998,51.74229],[-0.27239,51.745],[-0.27289,51.75417],[-0.27246,51.76079],[-0.27284,51.76434],[-0.27344,51.76922],[-0.27568,51.77212],[-0.27779,51.77507],[-0.27927,51.78011],[-0.28281,51.78453],[-0.28893,51.78831],[-0.29862,51.78963],[-0.30982,51.78993],[-0.31424,51.78995],[-0.31853,51.78911],[-0.32456,51.78824],[-0.33665,51.78738]]]}}",2026-02-11 13:23:14,2026-02-11 13:23:14
42,leighton Buzzard,51.9399927,-0.6551687,NULL,active,"{""polygon"":{""type"":""Polygon"",""coordinates"":[[[-0.69441,51.93132],[-0.69208,51.92474],[-0.68264,51.92068],[-0.66912,51.91636],[-0.62822,51.90863],[-0.60516,51.9247],[-0.59028,51.93098],[-0.59138,51.93617],[-0.61078,51.94686],[-0.62728,51.95572],[-0.66062,51.97798],[-0.68415,51.98844],[-0.69673,51.9617],[-0.69933,51.94231],[-0.69535,51.9333],[-0.69441,51.93132]]]}}",2026-02-11 13:23:14,2026-02-11 13:23:14
43,Dunstable,51.8889601,-0.5205325,NULL,active,"{""polygon"":{""type"":""Polygon"",""coordinates"":[[[-0.54189,51.89944],[-0.55142,51.90582],[-0.55351,51.9047],[-0.56281,51.90167],[-0.56857,51.9004],[-0.57736,51.8983],[-0.58675,51.89674],[-0.59292,51.89189],[-0.56017,51.87385],[-0.52891,51.85538],[-0.52511,51.85164],[-0.50977,51.8588],[-0.4958,51.86524],[-0.4971,51.86839],[-0.50434,51.87046],[-0.49319,51.87637],[-0.48845926193236355,51.88822489287837],[-0.4870504616546478,51.8891285534377],[-0.48754769115446184,51.89077225126563],[-0.4865088455772204,51.890984912495924],[-0.4862683725261485,51.891101174816754],[-0.486542883605956,51.891382970802795],[-0.48891,51.89291],[-0.4938,51.89454],[-0.49689,51.8958],[-0.49972,51.89712],[-0.50556,51.89981],[-0.50875,51.9006],[-0.51142,51.89978],[-0.51341,51.8992],[-0.52023,51.89726],[-0.52236,51.89556],[-0.52535,51.89429],[-0.52856,51.89333],[-0.53168,51.89272],[-0.54189,51.89944]]]}}",2026-02-11 13:23:14,2026-02-11 13:23:14
44,Toddington,51.9433513,-0.5453375,NULL,active,"{""polygon"":{""type"":""Polygon"",""coordinates"":[[[-0.56991,51.96272],[-0.60538,51.94931],[-0.57013,51.92172],[-0.55498,51.91268],[-0.49564,51.92303],[-0.50129,51.95178],[-0.52222,51.96073],[-0.54315,51.96484],[-0.56991,51.96272]]]}}",2026-02-11 13:23:14,2026-02-11 13:23:14
45,Borehamwood,51.6571133,-0.2758659,NULL,active,"{""polygon"":{""type"":""Polygon"",""coordinates"":[[[-0.29689,51.67334],[-0.30698,51.67152],[-0.31919,51.66926],[-0.31833,51.66718],[-0.3137,51.66488],[-0.30684,51.66242],[-0.30618,51.66319],[-0.30671,51.66141],[-0.30901,51.65267],[-0.29447999999999475,51.6473631135485],[-0.27995,51.63577],[-0.26957,51.63554],[-0.25901,51.63594],[-0.24762,51.63366],[-0.2443,51.63831],[-0.24226,51.64267],[-0.23539,51.65354],[-0.23015,51.66531],[-0.23212,51.66612],[-0.23803,51.66921],[-0.246,51.67123],[-0.26634,51.67596],[-0.29689,51.67334]]]}}",2026-02-11 13:23:14,2026-02-11 13:23:14
47,City Airport,51.5051680,0.0524740,NULL,active,"{""polygon"":{""type"":""Polygon"",""coordinates"":[[[0.0424,51.50761],[0.04146,51.50741],[0.04046,51.50574],[0.04088,51.50343],[0.04483,51.50337],[0.06185,51.50228],[0.0696,51.50186],[0.06965,51.50594],[0.06886,51.50643],[0.04475,51.50761],[0.0424,51.50761]]]}}",2026-02-11 13:23:14,2026-02-11 13:23:14
48,"harrow, North harrow, and south Harrow",51.5901874,-0.3556210,NULL,active,"{""polygon"":{""type"":""Polygon"",""coordinates"":[[[-0.43207,51.59109],[-0.36079,51.56309],[-0.34998,51.55788],[-0.34484,51.55735],[-0.34032,51.56412],[-0.32057,51.56798],[-0.32214,51.57061],[-0.32242,51.57189],[-0.32242,51.5733],[-0.32247,51.57432],[-0.32251,51.57608],[-0.32236,51.57821],[-0.32227,51.58035],[-0.32218,51.58302],[-0.32608,51.58551],[-0.32973,51.58789],[-0.33483,51.59154],[-0.33958,51.59455],[-0.3438,51.59941],[-0.34791,51.60416],[-0.35559,51.61329],[-0.36351,51.62193],[-0.36829,51.62077],[-0.37618,51.61852],[-0.38323,51.61646],[-0.38954,51.61464],[-0.39265,51.61301],[-0.39881,51.60935],[-0.40984,51.60225],[-0.41591,51.59864],[-0.42143,51.5946],[-0.43207,51.59109]]]}}",2026-02-11 13:23:14,2026-02-11 13:23:14
